"bates_number","processed"
"HOUSE_OVERSIGHT_022771",false
"HOUSE_OVERSIGHT_022773",false
"HOUSE_OVERSIGHT_022776",false
"HOUSE_OVERSIGHT_022801",false
"HOUSE_OVERSIGHT_022805",false
"HOUSE_OVERSIGHT_022806",false
"HOUSE_OVERSIGHT_022808",false
"HOUSE_OVERSIGHT_022815",false
"HOUSE_OVERSIGHT_022817",false
"HOUSE_OVERSIGHT_022819",false
"HOUSE_OVERSIGHT_022822",false
"HOUSE_OVERSIGHT_022824",false
"HOUSE_OVERSIGHT_022825",false
"HOUSE_OVERSIGHT_022827",false
"HOUSE_OVERSIGHT_022829",false
"HOUSE_OVERSIGHT_022831",false
"HOUSE_OVERSIGHT_022834",false
"HOUSE_OVERSIGHT_022835",false
"HOUSE_OVERSIGHT_022837",false
"HOUSE_OVERSIGHT_022839",false
"HOUSE_OVERSIGHT_022841",false
"HOUSE_OVERSIGHT_022926",false
"HOUSE_OVERSIGHT_022936",false
"HOUSE_OVERSIGHT_022938",false
"HOUSE_OVERSIGHT_022941",false
"HOUSE_OVERSIGHT_022943",false
"HOUSE_OVERSIGHT_022944",false
"HOUSE_OVERSIGHT_022945",false
"HOUSE_OVERSIGHT_022947",false
"HOUSE_OVERSIGHT_022949",false
"HOUSE_OVERSIGHT_022977",false
"HOUSE_OVERSIGHT_022994",false
"HOUSE_OVERSIGHT_022998",false
"HOUSE_OVERSIGHT_023001",false
"HOUSE_OVERSIGHT_023018",false
"HOUSE_OVERSIGHT_023020",false
"HOUSE_OVERSIGHT_023022",false
"HOUSE_OVERSIGHT_023024",false
"HOUSE_OVERSIGHT_023026",false
"HOUSE_OVERSIGHT_023028",false
"HOUSE_OVERSIGHT_023044",false
"HOUSE_OVERSIGHT_023054",false
"HOUSE_OVERSIGHT_023067",false
"HOUSE_OVERSIGHT_023101",false
"HOUSE_OVERSIGHT_023126",false
"HOUSE_OVERSIGHT_023198",false
"HOUSE_OVERSIGHT_023201",false
"HOUSE_OVERSIGHT_023202",false
"HOUSE_OVERSIGHT_023205",false
"HOUSE_OVERSIGHT_023291",false
"HOUSE_OVERSIGHT_023418",false
"HOUSE_OVERSIGHT_023426",false
"HOUSE_OVERSIGHT_023427",false
"HOUSE_OVERSIGHT_023429",false
"HOUSE_OVERSIGHT_023431",false
"HOUSE_OVERSIGHT_023433",false
"HOUSE_OVERSIGHT_023440",false
"HOUSE_OVERSIGHT_023448",false
"HOUSE_OVERSIGHT_023545",false
"HOUSE_OVERSIGHT_023548",false
"HOUSE_OVERSIGHT_023550",false
"HOUSE_OVERSIGHT_023635",false
"HOUSE_OVERSIGHT_023661",false
"HOUSE_OVERSIGHT_023717",false
"HOUSE_OVERSIGHT_024251",false
"HOUSE_OVERSIGHT_024300",false
"HOUSE_OVERSIGHT_024384",false
"HOUSE_OVERSIGHT_024395",false
"HOUSE_OVERSIGHT_024407",false
"HOUSE_OVERSIGHT_024419",false
"HOUSE_OVERSIGHT_024624",false
"HOUSE_OVERSIGHT_024923",false
"HOUSE_OVERSIGHT_025028",false
"HOUSE_OVERSIGHT_025041",false
"HOUSE_OVERSIGHT_025100",false
"HOUSE_OVERSIGHT_025101",false
"HOUSE_OVERSIGHT_025105",false
"HOUSE_OVERSIGHT_025110",false
"HOUSE_OVERSIGHT_025116",false
"HOUSE_OVERSIGHT_025118",false
"HOUSE_OVERSIGHT_025121",false
"HOUSE_OVERSIGHT_025124",false
"HOUSE_OVERSIGHT_025128",false
"HOUSE_OVERSIGHT_025133",false
"HOUSE_OVERSIGHT_025139",false
"HOUSE_OVERSIGHT_025140",false
"HOUSE_OVERSIGHT_025163",false
"HOUSE_OVERSIGHT_025166",false
"HOUSE_OVERSIGHT_025169",false
"HOUSE_OVERSIGHT_025172",false
"HOUSE_OVERSIGHT_025176",false
"HOUSE_OVERSIGHT_025180",false
"HOUSE_OVERSIGHT_025185",false
"HOUSE_OVERSIGHT_025190",false
"HOUSE_OVERSIGHT_025195",false
"HOUSE_OVERSIGHT_025197",false
"HOUSE_OVERSIGHT_025199",false
"HOUSE_OVERSIGHT_025200",false
"HOUSE_OVERSIGHT_025202",false
"HOUSE_OVERSIGHT_025231",false
"HOUSE_OVERSIGHT_025291",false
"HOUSE_OVERSIGHT_025295",false
"HOUSE_OVERSIGHT_025310",false
"HOUSE_OVERSIGHT_025329",false
"HOUSE_OVERSIGHT_025347",false
"HOUSE_OVERSIGHT_025349",false
"HOUSE_OVERSIGHT_025361",false
"HOUSE_OVERSIGHT_025511",false
"HOUSE_OVERSIGHT_025514",false
"HOUSE_OVERSIGHT_025517",false
"HOUSE_OVERSIGHT_025520",false
"HOUSE_OVERSIGHT_025524",false
"HOUSE_OVERSIGHT_025528",false
"HOUSE_OVERSIGHT_025533",false
"HOUSE_OVERSIGHT_025537",false
"HOUSE_OVERSIGHT_025547",false
"HOUSE_OVERSIGHT_025548",false
"HOUSE_OVERSIGHT_025589",false
"HOUSE_OVERSIGHT_025591",false
"HOUSE_OVERSIGHT_025592",false
"HOUSE_OVERSIGHT_025594",true
"HOUSE_OVERSIGHT_025636",false
"HOUSE_OVERSIGHT_025639",false
"HOUSE_OVERSIGHT_025643",false
"HOUSE_OVERSIGHT_025647",false
"HOUSE_OVERSIGHT_025649",false
"HOUSE_OVERSIGHT_025651",false
"HOUSE_OVERSIGHT_025655",false
"HOUSE_OVERSIGHT_025660",true
"HOUSE_OVERSIGHT_025790",false
"HOUSE_OVERSIGHT_025812",false
"HOUSE_OVERSIGHT_025873",false
"HOUSE_OVERSIGHT_025874",false
"HOUSE_OVERSIGHT_025877",false
"HOUSE_OVERSIGHT_025878",false
"HOUSE_OVERSIGHT_025879",false
"HOUSE_OVERSIGHT_025882",false
"HOUSE_OVERSIGHT_025888",false
"HOUSE_OVERSIGHT_025893",false
"HOUSE_OVERSIGHT_025898",false
"HOUSE_OVERSIGHT_025904",false
"HOUSE_OVERSIGHT_025906",false
"HOUSE_OVERSIGHT_025908",false
"HOUSE_OVERSIGHT_025911",false
"HOUSE_OVERSIGHT_025918",false
"HOUSE_OVERSIGHT_025926",false
"HOUSE_OVERSIGHT_025935",false
"HOUSE_OVERSIGHT_025942",false
"HOUSE_OVERSIGHT_025944",false
"HOUSE_OVERSIGHT_025945",false
"HOUSE_OVERSIGHT_025946",false
"HOUSE_OVERSIGHT_025949",false
"HOUSE_OVERSIGHT_025954",false
"HOUSE_OVERSIGHT_025960",false
"HOUSE_OVERSIGHT_025967",false
"HOUSE_OVERSIGHT_025970",false
"HOUSE_OVERSIGHT_026005",false
"HOUSE_OVERSIGHT_026008",false
"HOUSE_OVERSIGHT_026018",false
"HOUSE_OVERSIGHT_026020",false
"HOUSE_OVERSIGHT_026024",false
"HOUSE_OVERSIGHT_026026",false
"HOUSE_OVERSIGHT_026028",false
"HOUSE_OVERSIGHT_026030",false
"HOUSE_OVERSIGHT_026033",false
"HOUSE_OVERSIGHT_026036",false
"HOUSE_OVERSIGHT_026041",false
"HOUSE_OVERSIGHT_026047",false
"HOUSE_OVERSIGHT_026049",false
"HOUSE_OVERSIGHT_026053",false
"HOUSE_OVERSIGHT_026055",false
"HOUSE_OVERSIGHT_026057",false
"HOUSE_OVERSIGHT_026059",false
"HOUSE_OVERSIGHT_026064",false
"HOUSE_OVERSIGHT_026069",false
"HOUSE_OVERSIGHT_026075",false
"HOUSE_OVERSIGHT_026076",false
"HOUSE_OVERSIGHT_026078",false
"HOUSE_OVERSIGHT_026080",false
"HOUSE_OVERSIGHT_026083",false
"HOUSE_OVERSIGHT_026086",false
"HOUSE_OVERSIGHT_026090",false
"HOUSE_OVERSIGHT_026094",false
"HOUSE_OVERSIGHT_026096",false
"HOUSE_OVERSIGHT_026098",false
"HOUSE_OVERSIGHT_026100",false
"HOUSE_OVERSIGHT_026103",false
"HOUSE_OVERSIGHT_026106",false
"HOUSE_OVERSIGHT_026110",false
"HOUSE_OVERSIGHT_026114",false
"HOUSE_OVERSIGHT_026118",false
"HOUSE_OVERSIGHT_026123",false
"HOUSE_OVERSIGHT_026128",false
"HOUSE_OVERSIGHT_026131",false
"HOUSE_OVERSIGHT_026159",false
"HOUSE_OVERSIGHT_026160",false
"HOUSE_OVERSIGHT_026161",false
"HOUSE_OVERSIGHT_026162",false
"HOUSE_OVERSIGHT_026165",false
"HOUSE_OVERSIGHT_026167",false
"HOUSE_OVERSIGHT_026168",false
"HOUSE_OVERSIGHT_026170",false
"HOUSE_OVERSIGHT_026173",false
"HOUSE_OVERSIGHT_026176",false
"HOUSE_OVERSIGHT_026180",false
"HOUSE_OVERSIGHT_026184",false
"HOUSE_OVERSIGHT_026188",false
"HOUSE_OVERSIGHT_026193",false
"HOUSE_OVERSIGHT_026198",false
"HOUSE_OVERSIGHT_026204",false
"HOUSE_OVERSIGHT_026210",false
"HOUSE_OVERSIGHT_026216",false
"HOUSE_OVERSIGHT_026218",false
"HOUSE_OVERSIGHT_026221",false
"HOUSE_OVERSIGHT_026224",false
"HOUSE_OVERSIGHT_026228",false
"HOUSE_OVERSIGHT_026232",false
"HOUSE_OVERSIGHT_026233",false
"HOUSE_OVERSIGHT_026234",false
"HOUSE_OVERSIGHT_026237",false
"HOUSE_OVERSIGHT_026242",false
"HOUSE_OVERSIGHT_026243",false
"HOUSE_OVERSIGHT_026245",false
"HOUSE_OVERSIGHT_026254",false
"HOUSE_OVERSIGHT_026255",false
"HOUSE_OVERSIGHT_026256",false
"HOUSE_OVERSIGHT_026258",false
"HOUSE_OVERSIGHT_026260",false
"HOUSE_OVERSIGHT_026263",false
"HOUSE_OVERSIGHT_026266",false
"HOUSE_OVERSIGHT_026267",false
"HOUSE_OVERSIGHT_026269",false
"HOUSE_OVERSIGHT_026270",false
"HOUSE_OVERSIGHT_026272",false
"HOUSE_OVERSIGHT_026273",false
"HOUSE_OVERSIGHT_026280",false
"HOUSE_OVERSIGHT_026287",false
"HOUSE_OVERSIGHT_026290",false
"HOUSE_OVERSIGHT_026294",false
"HOUSE_OVERSIGHT_026296",false
"HOUSE_OVERSIGHT_026310",false
"HOUSE_OVERSIGHT_026311",false
"HOUSE_OVERSIGHT_026317",false
"HOUSE_OVERSIGHT_026320",false
"HOUSE_OVERSIGHT_026321",false
"HOUSE_OVERSIGHT_026324",false
"HOUSE_OVERSIGHT_026326",false
"HOUSE_OVERSIGHT_026328",false
"HOUSE_OVERSIGHT_026329",false
"HOUSE_OVERSIGHT_026342",false
"HOUSE_OVERSIGHT_026343",false
"HOUSE_OVERSIGHT_026344",false
"HOUSE_OVERSIGHT_026345",false
"HOUSE_OVERSIGHT_026354",false
"HOUSE_OVERSIGHT_026355",false
"HOUSE_OVERSIGHT_026356",false
"HOUSE_OVERSIGHT_026360",false
"HOUSE_OVERSIGHT_026362",false
"HOUSE_OVERSIGHT_026369",false
"HOUSE_OVERSIGHT_026372",false
"HOUSE_OVERSIGHT_026376",false
"HOUSE_OVERSIGHT_026378",false
"HOUSE_OVERSIGHT_026381",false
"HOUSE_OVERSIGHT_026383",false
"HOUSE_OVERSIGHT_026393",false
"HOUSE_OVERSIGHT_026399",false
"HOUSE_OVERSIGHT_026406",false
"HOUSE_OVERSIGHT_026413",false
"HOUSE_OVERSIGHT_026422",false
"HOUSE_OVERSIGHT_026426",false
"HOUSE_OVERSIGHT_026428",false
"HOUSE_OVERSIGHT_026430",false
"HOUSE_OVERSIGHT_026431",false
"HOUSE_OVERSIGHT_026437",false
"HOUSE_OVERSIGHT_026438",false
"HOUSE_OVERSIGHT_026440",false
